data,hora,tc9,uc9,pc9,tc10,uc10,pc10,tc11,uc11,pc11,tamb,uamb,pamb
2024-08-29,15:40,27.4,75.23,1018.97,24.96,78.69,1018.76,24.02,74.37,1019.05,21.65,59.2,1017.94
2024-08-29,16:10,29.72,70.64,1019.12,26.79,77.74,1018.81,28.19,75.24,1019.08,21.43,62.04,1018.13
2024-08-29,16:40,29.87,68.34,1019.27,26.23,79.38,1019.02,28.07,77.08,1019.26,21.15,63.75,1018.33
2024-08-29,17:10,29.68,69.05,1019.44,26.27,79.03,1019.15,27.57,75.17,1019.43,20.89,65.01,1018.41
2024-08-29,17:40,29.47,68.51,1019.83,25.52,80.03,1019.56,26.73,74.07,1019.81,20.46,65.21,1018.78
2024-08-29,18:10,29.31,71.77,1019.76,25.21,81,1019.5,26.2,74.09,1019.77,19.77,66.72,1018.7
2024-08-29,18:40,28.9,69.95,1019.76,24.84,81.05,1019.48,25.76,74.52,1019.79,19.26,68.11,1018.72
2024-08-29,19:10,28.86,68.59,1019.9,24.69,79.84,1019.66,25.2,71.83,1019.98,18.68,69.13,1018.86
2024-08-29,19:40,29.19,71.44,1019.78,23.75,77.79,1019.52,24.71,72.87,1019.75,18.4,69.58,1018.7
2024-08-29,20:10,28.82,70.69,1020.04,23.51,75.75,1019.77,24.43,72.87,1020.07,18.09,69.7,1018.96
2024-08-29,20:40,28.65,72.81,1020.4,23.08,76.8,1020.21,24.18,72.39,1020.45,17.5,70.45,1019.37
2024-08-29,21:10,28.24,69.78,1020.04,22.8,77.88,1019.8,23.82,70.45,1020.06,17.65,70.45,1018.98
2024-08-29,21:40,28.12,71.55,1019.99,22.48,77.4,1019.7,23.72,70.28,1019.96,17.4,70.74,1018.89
2024-08-29,22:10,27.95,67.82,1020.36,22.03,77.2,1020.1,23.51,70.77,1020.24,17.25,72.06,1019.27
2024-08-29,22:40,27.66,64.98,1020.14,22.21,77.94,1019.85,23.2,70.98,1020.11,17.23,71.67,1019.03
2024-08-29,23:10,28.43,73.04,1020.12,22.07,78.96,1019.89,23.25,71.69,1020.13,16.93,71.75,1019.07
2024-08-29,23:40,28.28,73.8,1019.88,21.88,79.46,1019.7,22.91,70.86,1019.93,16.56,71.87,1018.84
2024-08-30,00:10,28.73,70.46,1020.18,21.81,80.03,1020.01,22.53,70.85,1020.23,16.38,71.56,1019.09
2024-08-30,02:38,28.32,71.13,1020.41,20.94,80.02,1020.18,21.85,72.17,1020.45,15.47,71.11,1019.24
2024-08-30,03:08,27.95,71.7,1020.16,20.8,79.94,1019.99,21.8,72.43,1020.23,15.15,71.09,1019.04
2024-08-30,03:38,27.12,73.87,1020.15,20.64,80.3,1019.84,21.48,72.17,1020.09,15.11,71.7,1018.92
2024-08-30,04:08,27.81,73.87,1020.21,20.51,80.64,1020.04,21.27,72.21,1020.33,15.06,71.94,1019.16
2024-08-30,04:38,27.79,73.96,1020.42,20.4,80.78,1020.15,20.88,71.19,1020.39,15.01,71.9,1019.29
2024-08-30,05:08,27.11,72.79,1020.29,20.14,80.06,1019.99,20.68,71.3,1020.3,14.87,72.03,1019.15
2024-08-30,05:38,26.8,71.84,1020.69,19.56,79.05,1020.51,20.74,72.09,1020.7,14.76,71.78,1019.62
2024-08-30,06:08,26.07,71.03,1021.13,19.33,80.12,1020.86,20.21,73.26,1021.05,14.62,71.7,1019.95
2024-08-30,06:38,26.4,70.06,1021.44,19.12,80.49,1021.24,19.92,73.27,1021.46,14.43,72.15,1020.27
2024-08-30,07:08,26.18,72.32,1021.71,18.89,80.49,1021.49,19.85,73.58,1021.71,14.43,71.83,1020.58
2024-08-30,07:38,25.22,74.12,1021.63,18.68,81.1,1021.41,19.48,74.27,1021.67,14.93,72.74,1020.48
2024-08-30,08:08,26.63,70.43,1021.75,18.66,81.85,1021.57,19.52,74.23,1021.79,15.71,73.65,1020.65
2024-08-30,08:38,26.76,72.52,1021.9,18.72,82.31,1021.69,19.54,74.5,1021.93,16.4,73.46,1020.77
2024-08-30,09:08,27.98,72.1,1022.08,19.07,82.58,1021.89,19.75,74.46,1022.13,17.17,74.65,1021
2024-08-30,09:38,27.86,73.31,1021.73,19.65,82.83,1021.54,20.29,74.27,1021.68,17.99,74.36,1020.61
2024-08-30,10:08,29.25,74.06,1021.51,20.77,83.05,1021.28,20.65,75.88,1021.56,18.72,72.12,1020.5
2024-08-30,10:38,28.08,78.21,1021.2,21.61,82.87,1020.92,21.37,76.95,1021.16,19.97,69.93,1020.08
2024-08-30,11:08,29.53,74.32,1020.5,22.35,82.9,1020.24,21.94,76.53,1020.5,21.04,65.61,1019.47
2024-08-30,11:38,29.02,75.51,1020.03,23.83,82.94,1019.72,22.51,75.39,1020.03,22.21,64.05,1019.02
2024-08-30,12:08,29.35,77.21,1019.64,23.58,82.31,1019.4,23.12,75.55,1019.6,23.17,59.13,1018.56
2024-08-30,12:38,29.54,77.67,1019.27,24.04,83.02,1018.98,23.63,76.8,1019.29,23.74,52.07,1018.23
2024-08-30,13:08,30.51,76.48,1018.76,24.61,83.42,1018.5,24.18,76.25,1018.75,24.36,55.34,1017.76
2024-08-30,13:38,30.72,76.23,1018.25,25.15,83.37,1018.04,24.69,78,1018.25,24.56,53.88,1017.25
2024-08-30,14:08,32.3,71.23,1017.74,25.6,83.55,1017.58,25.06,76.99,1017.76,24.62,55.48,1016.74
2024-08-30,14:38,32.38,70.13,1017.53,25.98,83.75,1017.28,25.38,77.61,1017.54,24.46,54.99,1016.49
2024-08-30,15:08,32.34,71.83,1017.54,26.21,83.88,1017.25,25.72,77.65,1017.45,24.33,55.29,1016.5
2024-08-30,15:38,32.29,72.03,1017.75,26.48,83.93,1017.52,26.04,77.73,1017.69,24.15,55.33,1016.74
2024-08-30,16:08,32.63,71.32,1017.97,26.78,83.88,1017.72,26.04,77.92,1017.93,23.69,55.01,1016.96
2024-08-30,16:38,32.74,70.22,1018.21,26.77,84.06,1018,25.99,78.4,1018.2,23,55.67,1017.17
2024-08-30,17:08,31.74,70.87,1018.83,26.58,84.03,1018.59,25.88,79.32,1018.82,22.22,61.2,1017.76
2024-08-30,17:38,31.43,72,1019.46,26.36,84.15,1019.21,25.73,78.42,1019.45,21.19,62.61,1018.36
2024-08-30,18:08,31.03,72.45,1019.89,26.01,84.4,1019.66,25.62,78.27,1019.88,20.1,65.19,1018.8
2024-08-30,18:38,31.04,73.28,1020.38,25.26,84.21,1020.14,25.44,77.77,1020.37,19.89,65.99,1019.24
2024-08-30,19:08,30.78,73.13,1020.77,24.98,84.19,1020.55,25.14,76.74,1020.78,19.63,67.07,1019.62
2024-08-30,19:38,32.26,70.59,1020.81,24.2,83.74,1020.7,24.64,75.09,1020.86,19.39,68.02,1019.72
2024-08-30,20:08,31.45,70.52,1021.04,23.96,83.6,1020.86,24.7,76.01,1021.02,19.18,68.69,1019.93
2024-08-30,20:38,31.02,71.75,1021.19,23.6,83.06,1021.02,24.36,75.42,1021.19,19,69.15,1020.09
2024-08-30,21:08,30.53,71.58,1021.49,23.54,83.33,1021.39,24.06,75.18,1021.5,18.82,69.37,1020.39
2024-08-30,21:38,30.56,72.51,1021.79,22.96,81.97,1021.63,23.7,75.07,1021.79,18.63,69.21,1020.68
2024-08-30,22:08,30.2,72.58,1021.63,22.95,82.25,1021.49,23.49,74.48,1021.68,18.55,69.38,1020.59
2024-08-30,22:38,30.55,70.21,1021.89,22.3,81.41,1021.73,23.5,74.26,1021.9,18.45,69.66,1020.79
2024-08-30,23:08,30.39,72.74,1022.05,22.39,81.7,1021.91,23.16,74.95,1022.12,18.42,70.21,1020.96
2024-08-30,23:38,30.33,71.1,1022.3,22.16,81.39,1022.16,23.15,75.1,1022.39,17.95,70.7,1021.24
2024-08-31,00:08,30.9,71.47,1021.3,22.01,81.86,1021.12,23.19,74.88,1021.3,17.85,71.75,1020.22
2024-08-31,00:38,29.99,72.56,1020.86,22.06,82.35,1020.68,22.99,74.4,1020.88,17.66,73.46,1019.77
2024-08-31,01:08,29.71,71.07,1020.38,21.7,81.85,1020.17,22.85,73.92,1020.38,17.62,71.75,1019.24
2024-08-31,01:38,29.98,72.63,1019.91,21.83,82.24,1019.77,22.62,74.64,1019.95,17.43,72.17,1018.79
2024-08-31,02:08,29.74,72.33,1019.56,21.71,82.26,1019.43,22.52,74.37,1019.59,17.22,71.53,1018.46
2024-08-31,02:38,29.99,70.8,1019.76,21.59,82.17,1019.61,22.39,74.64,1019.78,17.13,71.27,1018.7
2024-08-31,03:08,29.41,60.9,1019.74,21.32,82.05,1019.58,22.01,74.28,1019.77,16.6,71.14,1018.65
2024-08-31,03:38,29.36,71.97,1019.74,20.69,81.01,1019.62,22.13,74.7,1019.79,16.57,71.68,1018.66
2024-08-31,04:08,28.81,71.69,1019.82,20.93,81.99,1019.67,21.97,75.32,1019.83,16.33,72.1,1018.66
2024-08-31,04:38,28.94,69.33,1019.67,20.72,82.31,1019.58,21.77,74.66,1019.75,16.31,71.45,1018.58
2024-08-31,05:08,29.05,67.42,1020.05,20.2,81.6,1019.92,21.54,74.76,1020.14,16.1,71.95,1018.91
2024-08-31,05:38,27.89,69.41,1020.45,20.21,82.04,1020.27,21.12,75.33,1020.47,16.49,72.42,1019.31
2024-08-31,06:08,26.69,71.24,1021.01,20.12,82.08,1020.75,20.84,75.3,1020.95,16.31,73.64,1019.85
2024-08-31,06:38,25.71,70.68,1021.16,19.96,82.58,1020.92,20.57,75.54,1021.09,16.39,73.29,1019.97
2024-08-31,07:08,25.42,72.41,1021.45,19.87,82.51,1021.25,20.43,76.21,1021.46,16.66,73.82,1020.31
2024-08-31,07:38,26.35,73.01,1021.53,19.81,82.53,1021.33,20.42,76.75,1021.56,17.11,74.16,1020.46
2024-08-31,08:08,26,74.28,1021.85,19.83,82.78,1021.67,20.44,76.38,1021.82,17.61,73.61,1020.74
2024-08-31,08:38,27.51,72.81,1021.99,20.19,83.07,1021.86,21.05,76.25,1022.03,18.26,73.23,1020.95
2024-08-31,09:08,27.66,74.27,1022.13,20.55,83.37,1021.99,21.24,76.53,1022.15,18.7,72.76,1021.07
2024-08-31,09:38,29.2,72.23,1022,21.13,83.7,1021.81,21.84,76.41,1022,19.43,72.97,1020.96
2024-08-31,10:08,29.75,73.44,1021.59,21.71,83.94,1021.51,22.26,76.3,1021.68,20.21,70.98,1020.59
2024-08-31,10:38,29.65,74.8,1021.34,22.41,84.23,1021.14,22.63,76.63,1021.4,20.74,68.5,1020.33
2024-08-31,11:08,29.6,74.27,1021.01,22.96,84.51,1020.84,22.92,77.13,1021.06,21.42,66.2,1020.01
2024-08-31,11:38,29.8,75.07,1020.69,23.31,84.66,1020.48,23.24,77.61,1020.67,21.8,65.61,1019.67
2024-08-31,12:08,29.89,75.66,1019.91,23.79,84.67,1019.67,23.45,78.72,1019.89,22.41,64.98,1018.88
2024-08-31,12:38,30.38,75.83,1019.36,24.33,85.04,1019.18,23.76,78.15,1019.32,23.34,62.42,1018.31
2024-08-31,13:08,30.46,75.97,1018.45,24.69,85,1018.21,24.1,78.43,1018.37,23.88,58.51,1017.42
2024-08-31,13:38,31.06,74.66,1017.99,25.09,84.95,1017.8,24.6,78.15,1018.02,24.21,59.23,1017.01
2024-08-31,14:08,30.51,75.93,1017.52,25.57,85,1017.23,25.15,78.46,1017.47,24.41,58.27,1016.5
2024-08-31,14:38,32.23,72,1016.95,25.95,84.99,1016.76,25.41,78.79,1016.97,24.3,58.44,1015.96
2024-08-31,15:08,31.34,74.02,1016.72,26.21,85.23,1016.5,25.73,78.88,1016.69,24.35,62.22,1015.73
2024-08-31,15:38,31.78,73.58,1016.47,26.51,85.08,1016.21,25.96,78.7,1016.4,23.97,63.71,1015.45
2024-08-31,16:08,32.47,72.21,1016.21,26.66,85.27,1015.94,26.02,79.08,1016.2,23.44,65.11,1015.2
2024-08-31,16:38,30.46,78.1,1015.94,26.88,85.21,1015.7,26.08,79.06,1015.92,22.98,66.39,1014.94
2024-08-31,17:08,31.01,77.01,1015.93,26.57,85.36,1015.75,26.13,79.24,1015.96,22.78,66.7,1014.96
2024-08-31,17:38,31.18,76.19,1015.85,26.35,85.39,1015.58,26.08,79.18,1015.83,22.3,67.77,1014.76
2024-08-31,18:08,31.16,76.61,1015.75,26.39,85.57,1015.57,26.1,78.74,1015.79,21.97,68.39,1014.69
2024-08-31,18:38,31.41,75.65,1015.58,25.6,85.69,1015.41,25.94,78.69,1015.59,21.72,68.96,1014.52
2024-08-31,19:08,31.27,74.94,1015.4,25.37,85.6,1015.24,25.84,78.35,1015.46,21.46,69.78,1014.37
2024-08-31,19:38,30.67,75.65,1015.32,24.78,85.02,1015.18,25.6,77.84,1015.43,21.28,70.28,1014.31
2024-08-31,20:08,30.55,74.8,1015.25,24.48,85.11,1015.1,25.36,77.89,1015.23,20.86,70.76,1014.13
2024-08-31,20:38,30.87,74.26,1015.02,24.1,85.15,1014.91,25.12,77.18,1015.07,20.4,71.2,1013.93
2024-08-31,21:08,29.35,69.24,1014.88,23.47,84.78,1014.75,24.83,76.36,1014.85,19.86,71.4,1013.79
2024-08-31,21:38,28.85,73.65,1015.08,23.23,84.43,1014.94,24.4,75.24,1015.09,19.64,71.54,1013.97
2024-08-31,22:08,29.74,75.32,1014.84,23.22,84.35,1014.73,24.23,75.79,1014.89,19.32,71.77,1013.8
2024-08-31,22:38,30.25,72.37,1014.55,23.13,84.55,1014.44,24.04,75.44,1014.59,19.33,72.73,1013.5
2024-08-31,23:08,28.96,73.78,1014.79,23.19,84.93,1014.63,23.9,74.91,1014.8,19.26,72.57,1013.67
2024-08-31,23:38,28.83,75.81,1014.55,22.92,85.13,1014.42,23.71,74.8,1014.58,19.18,72.89,1013.48
2024-09-01,00:08,29.1,74.24,1014.33,22.81,85.22,1014.19,23.63,74.57,1014.33,19.12,73.29,1013.27
2024-09-01,00:38,28.63,74.56,1014.2,22.82,85.23,1014.05,23.44,74.45,1014.23,19.06,73.16,1013.1
2024-09-01,01:08,28.04,74.67,1014.28,22.69,85.3,1014.18,23.43,74.79,1014.31,19.08,73.86,1013.19
2024-09-01,01:38,28.77,72.38,1013.96,22.54,85.2,1013.88,23.35,75.28,1013.97,18.92,74.53,1012.95
2024-09-01,02:08,28.78,73.9,1013.3,22.66,85.31,1013.19,23.31,75.43,1013.34,19.03,74.37,1012.26
2024-09-01,02:38,28.84,72.69,1012.85,22.58,85.48,1012.72,23.14,75.51,1012.84,19.08,74.48,1011.79
2024-09-01,03:08,28.41,74.51,1012.3,22.45,85.52,1012.18,22.98,75.88,1012.29,19.04,74.65,1011.22
2024-09-01,03:38,29.03,73.77,1012.44,22.58,85.55,1012.29,23.02,75.75,1012.48,18.97,75.25,1011.42
2024-09-01,04:08,28.39,74.56,1012.62,22.55,85.66,1012.45,22.84,75.95,1012.65,18.96,75.13,1011.57
2024-09-01,04:38,27.85,74.78,1013.01,22.44,85.78,1012.85,22.69,75.85,1013.01,18.93,75.42,1011.93
2024-09-01,05:08,27.81,74.06,1013.43,22.32,85.57,1013.22,22.55,76.27,1013.4,19.05,76.16,1012.31
2024-09-01,05:38,26.96,74.87,1014.43,22.18,85.67,1014.18,22.45,76.53,1014.42,19.12,75.21,1013.3
2024-09-01,06:08,26.84,74.43,1013.42,22.09,85.75,1013.21,22.32,76.73,1013.36,19.04,75.58,1012.27
2024-09-01,06:38,25.9,74.86,1013.53,22.16,85.68,1013.33,22.2,77.06,1013.51,19.03,75.68,1012.42
2024-09-01,07:08,25.81,74.35,1013.84,22.09,85.69,1013.61,22.13,77.14,1013.84,19.06,75.59,1012.71
2024-09-01,07:38,26.11,72.65,1014.08,22.17,85.75,1013.91,22.24,77.29,1014.12,19.25,75.52,1013.01
2024-09-01,08:08,26.42,71.77,1014.82,22.34,85.82,1014.61,22.21,77.52,1014.75,19.36,75.76,1013.73
2024-09-01,08:38,26.18,72.79,1014.79,22.47,85.83,1014.63,22.26,77.71,1014.82,19.45,74.84,1013.75
2024-09-01,09:08,26.47,74.8,1014.61,22.76,85.81,1014.43,22.54,77.34,1014.62,20.06,76.43,1013.57
2024-09-01,09:38,29.15,74.38,1013.74,23.36,85.98,1013.67,22.97,77.65,1013.82,20.78,74.2,1012.78
2024-09-01,10:08,30.3,74.41,1013.82,23.63,85.94,1013.65,23.32,77.42,1013.79,21.36,72.89,1012.89
2024-09-01,10:38,30.43,75.43,1013.96,24.05,86.12,1013.82,23.67,77.54,1013.97,21.83,71.38,1013.02
2024-09-01,11:08,30.62,74.69,1013.94,24.51,86.17,1013.72,23.99,77.68,1013.92,22.09,70.21,1012.94
2024-09-01,11:38,29.99,77.7,1013.88,24.86,86.19,1013.7,24.14,78.67,1013.86,23.17,70.15,1012.86
2024-09-01,12:08,30.95,75.07,1013.36,25.16,86.22,1013.15,24.51,77.83,1013.37,22.95,68.72,1012.4
2024-09-01,12:38,30.35,77,1013.54,25.42,86.29,1013.31,24.73,78.61,1013.5,22.47,66.57,1012.55
2024-09-01,13:08,30.2,78.87,1012.53,25.89,86.27,1012.3,25.15,78.72,1012.48,22.78,66.9,1011.51
2024-09-01,13:38,30.25,78.42,1012.29,25.86,86.05,1012.12,25.13,78.53,1012.34,23.42,65.43,1011.34
2024-09-01,14:08,30.78,77.17,1012.53,25.92,86.11,1012.28,25.11,78.43,1012.46,22.93,66.65,1011.47
2024-09-01,14:38,30.47,79.23,1012.47,26,86.21,1012.23,25.15,78.58,1012.4,22.33,64.19,1011.44
2024-09-01,15:38,30.47,79.82,1012.8,25.55,86.43,1012.61,25.01,78.68,1012.76,20.57,67.03,1011.8
2024-09-01,16:08,29.67,81.34,1012.96,25.31,86.44,1012.72,24.83,78.43,1012.84,20.34,67.11,1011.87
2024-09-01,16:38,29.59,80.23,1012.91,24.98,86.55,1012.66,24.78,78.53,1012.85,20.24,67.89,1011.84
2024-09-01,17:08,29.92,79.63,1013.07,24.99,86.63,1012.89,24.6,78.33,1013.13,20.15,67.47,1012.04
2024-09-01,17:38,29.48,80.11,1013.55,24.62,86.72,1013.36,25.04,77.78,1013.46,20.35,66.67,1012.45
2024-09-01,18:08,29.55,80.86,1013.81,24.15,86.82,1013.67,24.48,77.98,1013.84,19.69,68.18,1012.8
2024-09-01,18:38,30.27,77.3,1014.04,24.12,86.8,1013.86,24.29,76.89,1014.08,19.53,68.72,1012.98
2024-09-01,19:08,30.48,77.44,1014.53,23.64,86.87,1014.38,24.21,76.63,1014.5,19.36,69.19,1013.44
2024-09-01,19:38,30.62,76.3,1014.69,23.01,86.78,1014.57,24.03,76.16,1014.71,18.9,69.12,1013.61
2024-09-01,20:08,30.22,75.84,1014.96,22.81,86.83,1014.79,23.82,75.79,1014.92,18.26,69.57,1013.89
2024-09-01,20:38,29.66,76.47,1015.28,21.79,86.84,1015.12,23.56,75.82,1015.3,17.92,70.26,1014.2
2024-09-01,21:08,29.54,74.97,1015.41,21.52,86.75,1015.19,23.14,74,1015.43,17.56,69.78,1014.29
2024-09-01,21:38,29.66,73.46,1015.53,21.26,86.64,1015.36,22.76,74.76,1015.56,17.34,70.57,1014.39
2024-09-01,22:08,30.47,71.05,1015.47,21.04,86.56,1015.39,22.87,74.96,1015.56,17.32,70.66,1014.44
2024-09-01,22:38,30.92,70.33,1015.54,21.04,86.47,1015.45,22.17,73.8,1015.63,16.98,71.11,1014.53
2024-09-01,23:08,29.16,71.87,1015.68,20.97,86.31,1015.55,22.08,73.86,1015.73,16.46,70.68,1014.56
2024-09-01,23:38,29.57,71.41,1015.78,20.56,86.16,1015.64,22.06,73.92,1015.8,16.33,70.9,1014.68
2024-09-02,00:08,29.4,69.98,1015.88,20.37,85.98,1015.84,21.68,73.31,1015.96,16.17,71.36,1014.83
2024-09-02,00:38,28.76,74.69,1015.85,20.48,86.04,1015.68,21.63,73.37,1015.82,15.86,70.45,1014.65
2024-09-02,01:08,27.52,73.16,1015.6,20.06,85.86,1015.39,21.51,73.37,1015.51,15.35,69.79,1014.44
2024-09-02,01:38,28.19,73.19,1015.35,19.69,85.5,1015.17,21.24,73.1,1015.31,15.06,69.8,1014.16
2024-09-02,02:08,28.03,71.31,1015.04,19.55,85.63,1014.89,20.89,72.61,1015,14.78,69.55,1013.9
2024-09-02,02:38,27.6,72.47,1014.69,19.26,85.83,1014.49,20.62,72.81,1014.65,14.38,69.44,1013.53
2024-09-02,03:08,28.64,68.58,1014.32,19.05,85.9,1014.29,20.32,72.98,1014.41,14.19,68.93,1013.27
2024-09-02,03:38,26.77,69.21,1014.29,18.89,86.06,1014.13,19.93,73.04,1014.24,14.07,69.32,1013.12
2024-09-02,04:08,25.19,70.01,1014.5,18.27,86.29,1014.29,19.67,73.67,1014.42,13.94,68.28,1013.28
2024-09-02,04:38,24.03,71.03,1014.66,18.07,86.07,1014.43,19.33,73.92,1014.57,13.61,68.6,1013.44
2024-09-02,05:08,23.16,70.17,1014.74,17.86,86.03,1014.54,18.95,74.15,1014.7,13.36,69.64,1013.52
2024-09-02,05:38,23.21,68.85,1014.78,17.67,86.21,1014.56,18.58,74.32,1014.76,13.09,68.56,1013.61
2024-09-02,06:08,21.9,69.66,1015.06,17.36,86.34,1014.86,18.23,74.6,1015.03,12.96,69.41,1013.83
2024-09-02,06:38,21.17,69.56,1015.42,17.12,86.46,1015.22,17.84,74.92,1015.43,12.91,69.66,1014.19
2024-09-02,07:08,20.37,69.24,1015.83,16.77,86.59,1015.52,17.56,75.02,1015.68,13.14,70.35,1014.47
2024-09-02,07:38,20.09,68.61,1016.34,16.75,86.56,1016.04,17.24,75.64,1016.22,13.67,70.76,1015.02
2024-09-02,08:08,20.03,68.8,1016.59,16.85,86.41,1016.3,17.54,74.97,1016.51,14.68,70.67,1015.27
2024-09-02,08:38,20.85,68.83,1016.66,17.07,86.63,1016.45,17.8,74.66,1016.59,15.65,70.72,1015.48
2024-09-02,09:08,21.77,73.95,1016.69,18.2,86.66,1016.49,18.63,74.07,1016.68,16.68,69.75,1015.52
2024-09-02,09:38,28.23,70.94,1016.53,18.83,86.75,1016.5,19.45,73.69,1016.63,17.51,64.73,1015.54
2024-09-02,10:08,28.89,72.48,1016.62,19.52,86.85,1016.45,19.92,73.89,1016.65,18.38,60.7,1015.53
2024-09-02,10:38,29.65,70.88,1016.43,19.93,86.94,1016.42,20.44,74.03,1016.56,19.28,61.1,1015.44
2024-09-02,11:08,30.17,70.16,1016.3,20.78,87.13,1016.18,20.84,74.67,1016.38,20.56,57.66,1015.32
2024-09-02,11:38,28.89,75.92,1016.34,21.15,87.17,1016.2,21.34,74.57,1016.36,21.73,58.09,1015.33
2024-09-02,12:38,29.38,76.24,1015.2,22.59,86.98,1015.09,22.74,74.96,1015.22,23.6,53.27,1014.21
2024-09-02,13:08,30.09,75.38,1014.87,23.32,86.99,1014.71,23.32,75.43,1014.83,24.23,53.29,1013.83
2024-09-02,13:38,30.23,76.28,1014.52,23.96,86.74,1014.37,23.89,75.82,1014.52,23.85,52.41,1013.51
2024-09-02,14:08,30.04,76.84,1014.36,24.49,86.59,1014.13,24.33,76.47,1014.29,24.1,49.84,1013.33
2024-09-02,14:38,30.3,76.74,1014.09,24.92,86.67,1013.81,24.72,76.47,1014.02,24.08,50.55,1012.99
2024-09-02,15:08,30.92,76.46,1013.82,25.22,86.5,1013.58,25.1,76.99,1013.74,24.81,50.29,1012.8
2024-09-02,15:38,31.18,76.07,1013.8,25.68,86.31,1013.58,25.52,77.48,1013.73,25.05,48.58,1012.7
2024-09-02,16:08,31.36,74.11,1013.6,25.89,86.41,1013.37,25.71,77.57,1013.52,24.8,49.06,1012.5
2024-09-02,16:38,30.91,76.2,1013.82,26.12,86.33,1013.63,25.94,77.78,1013.74,24.44,48.65,1012.71
2024-09-02,17:08,30.84,75.63,1013.99,26.17,86.44,1013.77,25.93,79.42,1013.9,24.37,48.31,1012.87
2024-09-02,17:38,30.89,75.57,1014.46,25.93,86.18,1014.2,25.89,79.44,1014.38,21.47,51.94,1013.28
2024-09-02,18:08,30.54,76.7,1014.78,25.62,86.13,1014.64,25.76,79.06,1014.78,20.35,55.36,1013.64
2024-09-02,18:38,30.18,76.66,1015.03,24.93,85.88,1014.82,25.59,78.32,1014.98,19.88,57.5,1013.86
2024-09-02,19:08,29.92,76.93,1015.07,24.43,85.14,1014.9,25.28,77.95,1015.06,19.62,58.22,1013.91
2024-09-02,19:38,30.02,75.8,1015.18,23.9,85.5,1015.03,24.94,77.63,1015.17,19.38,58.96,1014.04
2024-09-02,20:08,30.53,75.24,1015.55,23.59,85.54,1015.43,24.67,77.28,1015.53,19.19,59.78,1014.36
2024-09-02,20:38,29.24,77.07,1015.8,23.48,85.5,1015.61,24.26,77.01,1015.74,18.96,60.67,1014.59
2024-09-02,21:08,30.09,75.3,1015.74,22.64,85.37,1015.64,23.98,76.51,1015.81,18.79,62.15,1014.63
2024-09-02,21:38,29.85,75.43,1015.7,22.54,85.63,1015.52,23.82,76.34,1015.65,18.69,62.4,1014.5
2024-09-02,22:08,29.6,74.86,1015.68,22.47,85.96,1015.5,23.57,76.2,1015.72,18.53,62.84,1014.48
2024-09-02,22:38,29.67,75.3,1015.57,22.39,85.54,1015.4,23.33,75.61,1015.61,18.45,63.4,1014.38
2024-09-02,23:08,29.13,74.72,1015.31,22.05,85.25,1015.2,23.03,76.12,1015.42,18.36,63.73,1014.21
2024-09-02,23:38,28.63,74.61,1014.99,21.9,85.38,1014.82,22.98,75.55,1015,18.21,64.15,1013.78
2024-09-03,00:08,28.57,75.52,1014.6,22.05,85.91,1014.39,22.86,75.13,1014.55,18.19,64.13,1013.41
2024-09-03,00:38,28.37,74.71,1014.41,21.9,85.77,1014.29,22.79,75.06,1014.44,18.13,63.98,1013.25
2024-09-03,01:08,28,74.93,1014.27,21.69,85.79,1014.08,22.67,75.21,1014.28,18.04,63.77,1013.1
2024-09-03,01:38,27.73,73.63,1014.07,21.72,85.78,1013.87,22.66,74.99,1014.03,17.98,65.17,1012.83
2024-09-03,02:08,28.2,72.81,1013.51,21.32,85.38,1013.35,22.49,74.96,1013.54,17.85,64.18,1012.37
2024-09-03,02:38,27.51,74.19,1013.23,21.36,85.58,1012.99,22.17,74.78,1013.21,17.76,64.9,1011.99
2024-09-03,03:08,27.46,71.8,1012.93,21.26,85.74,1012.73,22.06,74.75,1012.91,17.61,64.53,1011.71
2024-09-03,03:38,27.11,71.23,1012.59,21.03,85.78,1012.44,21.94,74.46,1012.63,17.55,65.36,1011.4
2024-09-03,04:08,26.49,71.83,1012.35,20.85,85.7,1012.17,21.97,74.55,1012.34,17.22,65.76,1011.13
2024-09-03,04:38,26.73,69.06,1012.28,20.73,85.74,1012.15,21.74,74.64,1012.32,16.55,66.59,1011.1
2024-09-03,05:08,25.27,68.52,1012.29,20.45,85.65,1012.06,21.43,74.94,1012.3,15.97,67.29,1011.07
2024-09-03,05:38,24.38,68.22,1012.35,19.95,85.7,1012.15,20.99,75.06,1012.34,15.8,67.68,1011.12
2024-09-03,06:08,23.41,69.08,1012.54,19.81,85.73,1012.2,20.52,75.22,1012.45,15.41,67.96,1011.17
2024-09-03,06:38,22.53,70.5,1012.9,19.61,85.98,1012.65,20.22,75.52,1012.83,15.29,68.04,1011.55
2024-09-03,07:08,22.24,69.77,1013.04,19.29,86.01,1012.81,19.84,75.68,1013,15.33,69.03,1011.75
2024-09-03,07:38,20.64,72.22,1013.55,19.06,86.21,1013.27,19.52,75.93,1013.42,15.74,69.49,1012.21
2024-09-03,08:08,21.46,68.55,1013.59,18.97,86.2,1013.33,19.35,76.08,1013.53,16.24,69.75,1012.29
2024-09-03,08:38,21.28,68.49,1013.78,19.04,86.25,1013.49,19.38,76.32,1013.68,16.74,68.67,1012.42
2024-09-03,09:08,21.46,71.07,1013.61,19.33,86.32,1013.35,19.93,76.02,1013.56,17.48,67.4,1012.34
